CLINICA MEIRELLES	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	RUA PADRE ALMEIDA 310	CAMBUI	13025250	19-32943114;	
INSTITUTO NOVA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	RUA ORLANDO FAGNANI 488	NOVA CAMPINAS	13092054		CRM-SP 100435
MARCOS MIGUEL DA SILVA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	AVENIDA JOAO ERBOLATO 119	JARDIM CHAPADAO	13070070	19-32438315;	CRM-SP 90110
SYMCO MEDICINA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA PLASTICA REPARADORA	CAMPINAS	Prata QC	RUA CORONEL QUIRINO 1483	CAMBUI	13025002	19-32556764;19-994715639;	
ASM - INSTITUTO DO RADIUM DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA TORACICA	CAMPINAS	Prata QC	AVENIDA DOUTOR HEITOR PENTEADO 1780	VILA LIDIA	13075460	19-37534100;	
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA TORACICA	CAMPINAS	Prata QC	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA TORACICA	CAMPINAS	Prata QC	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	CAMPINAS	Prata QC	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
MULTI CLINICAS	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	CAMPINAS	Prata QC	RUA SANTA BARBARA D'OESTE 624	JARDIM NOVO CAMPOS ELISEOS	13050542	19-32275711;	
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	CAMPINAS	Prata QC	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CENTRO MEDICO HOMEOPATICO DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	CAMPINAS	Prata QC	RUA CAMARGO PAES 642	JARDIM GUANABARA	13073350	19-32335513;	
CI - SANTA CLARA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	CAMPINAS	Prata QC	AVENIDA FRANCISCO GLICERIO 1867	CENTRO	13012000	19-32341187;	
CLINICA LIBERMAN	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	CAMPINAS	Prata QC	AVENIDA ANDRADE NEVES 699	CENTRO	13013161	19-32324811;19-32324811;	
CLINICA MEDICA E DERMATOLOGICA AVANCADA	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	CAMPINAS	Prata QC	RUA ITALIA 274	JARDIM RIBEIRO	13270180	19-38496221;19-33274838;	
CLINICA MEDICA MEDEIROS	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	CAMPINAS	Prata QC	RUA FREI ANTONIO DE PADUA 1263	JARDIM GUANABARA	13073330	19-32435917;19-32038272;19-998246994;	
COMPLEXO MEDICO	CONSULTORIOS - CLINICAS - TERAPIAS	CLINICA MEDICA	CAMPINAS	Prata QC	AVENIDA JORGE TIBIRICA 1760	JARDIM DOS OLIVEIRAS	13044125		
